full_model_name,msrp,object_type,object_name,object_texture
MAPLE PLYWOOD BOX-2DB24,"$1,068.12",box,2DB24,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-2DB27,"$1,127.23",box,2DB27,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-2DB30,"$1,197.38",box,2DB30,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-2DB36,"$1,315.72",box,2DB36,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-3DB12,$995.44,box,3DB12,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-3DB15,"$1,065.48",box,3DB15,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-3DB18,"$1,135.40",box,3DB18,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-3DB21,"$1,205.32",box,3DB21,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-3DB24,"$1,275.35",box,3DB24,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-3DB27,"$1,345.16",box,3DB27,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-3DB30,"$1,431.75",box,3DB30,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-3DB36,"$1,571.59",box,3DB36,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-B09FD,$426.65,box,B09FD,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-B12,$629.17,box,B12,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-B12FD,$629.17,box,B12FD,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-B15,$680.00,box,B15,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-B15FD,$680.00,box,B15FD,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-B18,$730.83,box,B18,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-B18FD,$730.83,box,B18FD,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-B21,$781.66,box,B21,MAPLE PLYWOOD BOX
MAPLE PLYWOOD BOX-B21FD,$781.66,box,B21FD,MAPLE PLYWOOD BOX
